model,accuracy,kappa,sensitivity,specificity,precision,recall,f1_score
Logistic Regression,0.5552880162993147,0.09046834183377958,0.5526973026973027,0.5627240143369175,0.7839178179241941,0.5526973026973027,0.648308188076754
Decision Tree,0.4987960733469161,0.0524637366839506,0.45879120879120877,0.6136200716845878,0.7731481481481481,0.45879120879120877,0.5758620689655173
Random Forest,0.5402852380070383,0.06508983157225547,0.5387112887112887,0.5448028673835126,0.7725644699140402,0.5387112887112887,0.6347851677457327
